"Study Id","Subject Id","Organ","Compartment","Species","Gender","Dose","Molecule","Molecular Weight","Time","Time unit","Measurement","Measurement unit","Error","LLOQ","Route","Group Id","Population","Weight [kg]","Height [cm]","Age [year(s)]","subject Id"
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,4,"Nivolumab",146000,1.39,"hr",72.64,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,28
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,4,"Nivolumab",146000,7.13,"hr",70.27,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,28
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,4,"Nivolumab",146000,23.94,"hr",59.4,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,28
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,4,"Nivolumab",146000,47.31,"hr",52.03,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,28
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,4,"Nivolumab",146000,96.09,"hr",42.76,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,28
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,4,"Nivolumab",146000,168.65,"hr",34.71,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,28
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,4,"Nivolumab",146000,335.88,"hr",24.18,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,28
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,6,"Nivolumab",146000,2.59,"hr",113.46,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,29
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,6,"Nivolumab",146000,6.7,"hr",102.45,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,29
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,6,"Nivolumab",146000,23.51,"hr",83.68,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,29
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,6,"Nivolumab",146000,46.47,"hr",74.55,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,29
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,6,"Nivolumab",146000,96.07,"hr",61.29,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,29
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,6,"Nivolumab",146000,168.62,"hr",51.48,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,29
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,6,"Nivolumab",146000,335.45,"hr",36.48,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,29
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,10,"Nivolumab",146000,2.56,"hr",180.23,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,30
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,10,"Nivolumab",146000,9.94,"hr",168.53,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,30
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,10,"Nivolumab",146000,25.11,"hr",152.52,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,30
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,10,"Nivolumab",146000,48.07,"hr",131.3,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,30
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,10,"Nivolumab",146000,72.67,"hr",117.02,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,30
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,10,"Nivolumab",146000,169.41,"hr",93.81,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,30
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,10,"Nivolumab",146000,336.64,"hr",69.99,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,30
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,20,"Nivolumab",146000,8.29,"hr",203.44,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,31
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,20,"Nivolumab",146000,24.28,"hr",193.85,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,31
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,20,"Nivolumab",146000,47.65,"hr",175.7,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,31
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,20,"Nivolumab",146000,72.25,"hr",151.31,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,31
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,20,"Nivolumab",146000,168.57,"hr",127.7,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,31
"Chen 2024 Fig 1",.,"Venous Blood","Plasma","human",.,20,"Nivolumab",146000,335.78,"hr",129.71,"ug/mL",.,.,"IV 1hr Infusion",.,.,70,170,.,31
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Avelumab",147000,1.85,"hr",102.19,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,14
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Avelumab",147000,7.34,"hr",77.91,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,14
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Avelumab",147000,23.83,"hr",37.15,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,14
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Avelumab",147000,48.8,"hr",26.62,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,14
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Avelumab",147000,73.77,"hr",17.37,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,14
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Avelumab",147000,95.25,"hr",12.45,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,14
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Avelumab",147000,120.24,"hr",9.7,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,14
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Avelumab",147000,144.93,"hr",7.25,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,14
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Avelumab",147000,169.04,"hr",5.65,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,14
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Avelumab",147000,198.09,"hr",3.84,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,14
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Avelumab",147000,240.5,"hr",2.51,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,14
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,10,"Nivolumab",146000,0,"hr",523,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,25
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,10,"Nivolumab",146000,1.92,"hr",480.78,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,25
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,10,"Nivolumab",146000,2.2,"hr",433.55,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,25
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,10,"Nivolumab",146000,4.67,"hr",396.31,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,25
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,10,"Nivolumab",146000,8.51,"hr",388.94,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,25
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,10,"Nivolumab",146000,24.16,"hr",312.24,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,25
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,10,"Nivolumab",146000,48.31,"hr",258.12,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,25
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,10,"Nivolumab",146000,143.84,"hr",143.53,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,25
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,10,"Nivolumab",146000,216.04,"hr",125.35,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,25
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,0.5,"Atezolizumab",144000,0.55,"hr",9.11,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,1
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,0.5,"Atezolizumab",144000,8.87,"hr",6.16,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,1
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,0.5,"Atezolizumab",144000,27.61,"hr",4.95,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,1
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,0.5,"Atezolizumab",144000,73.3,"hr",4.35,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,1
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,0.5,"Atezolizumab",144000,124.21,"hr",3.12,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,1
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,0.5,"Atezolizumab",144000,164.91,"hr",2.48,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,1
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,0.74,"hr",118.8,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,8.56,"hr",94.22,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,22.29,"hr",69.5,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,49.43,"hr",59.29,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,101.94,"hr",47.77,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,144.31,"hr",39.04,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,193.38,"hr",34.31,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,242.42,"hr",31.5,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,291.5,"hr",27.29,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,349.08,"hr",21.67,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,1176.91,"hr",1.39,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,1344.76,"hr",0.57,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,1005.51,"hr",4.35,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,478.11,"hr",8.6,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,666.7,"hr",18.39,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,839.17,"hr",13.63,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,410.2,"hr",14.05,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,504.32,"hr",25.92,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,5,"Atezolizumab",144000,332.73,"hr",10.48,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,2
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,0.62,"hr",603.49,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,3
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,10.86,"hr",408.05,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,3
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,24.58,"hr",309.85,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,3
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,70.26,"hr",276.28,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,3
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,117.68,"hr",229.12,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,3
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,170.16,"hr",192.81,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,3
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,324.24,"hr",111.61,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,3
"Chen 2024 Supp Fig 1",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,501.76,"hr",85.19,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,3
"Chen 2024 Supp Fig 2",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,674.61,"hr",38,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,4
"Chen 2024 Supp Fig 3",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,840.21,"hr",33.03,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,5
"Chen 2024 Supp Fig 4",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,1009.45,"hr",20.28,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,6
"Chen 2024 Supp Fig 5",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,1175.3,"hr",12.44,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,7
"Chen 2024 Supp Fig 6",.,"Venous Blood","Plasma","NHP",.,20,"Atezolizumab",144000,1342.98,"hr",6.42,"ug/mL",.,.,"IV Bolus",.,.,5,45,.,8
